,PCA1,PCA2,label,id
0,0.012671184383936829,0.19685709061991272,CHI,FJ882931.1
1,0.8115130289985737,0.11389991230723871,CHI,MF094685.1
2,0.0146453192158472,0.2225652488146189,CHI,KY417148.1
3,0.012416718515261181,0.19818900687346314,CHI,FJ882956.1
4,0.7792177894509051,0.343770112757235,CHI,MH938448.1
5,0.3401843336580091,0.44571582381893177,CHI,NC_034440.1
6,0.01627793132013244,0.19288457655191835,CHI,KF514423.1
7,0.807210270258583,0.1362957139101969,CHI,EF203066.1
8,0.013668846206549918,0.19236415820859507,CHI,AY502932.1
9,0.6894793094014067,0.11453655119294075,CHI,MH687938.1
10,0.016039376875798924,0.19451001136705345,CHI,AY345988.1
11,0.016392822137199402,0.23837810082368213,CHI,MK211375.1
12,0.010949382748676588,0.19521705523424002,CHI,FJ882954.1
13,0.00990888700806146,0.18947850686132153,CHI,AY864805.1
14,0.014034707281062268,0.19129715281710852,CHI,AY348314.1
15,0.01575650901141478,0.19293718830232032,CHI,JX163924.1
16,0.01627793132013163,0.19288457655191896,CHI,KF514394.1
17,0.019783287521993594,0.20074087478213393,CHI,FJ882951.1
18,0.07090831093381235,0.20654558506827495,CHI,KJ473812.1
19,0.6940874161237832,0.11854467702989492,CHI,MH687944.1
20,0.013494298581284186,0.19144715702151652,CHI,AY502926.1
21,0.019619082566738645,0.2018523162774116,CHI,FJ882943.1
22,0.01455107331063942,0.225119279864862,CHI,KJ473815.1
23,0.014034707281062299,0.19129715281710855,CHI,AY502925.1
24,0.6703081807465,0.09301553332825009,CHI,JQ989270.1
25,0.6909253653789329,0.13755826863200452,CHI,MH687957.1
26,0.005109621354383961,0.23099458096380807,CHI,KJ473816.1
27,0.020055540371256786,0.22923432307409866,CHI,KY417152.1
28,0.7925346392926729,0.0,CHI,NC_028824.1
29,0.008832018542037206,0.22047204462065786,CHI,KY417150.1
30,0.01627793132013163,0.19288457655191896,CHI,KF514419.1
31,0.040285859191735746,0.2179088588701366,CHI,KP886809.1
32,0.6966814053923674,0.12874280318626294,CHI,MH687956.1
33,0.012969204638341097,0.18991236253816707,CHI,AY508724.1
34,0.01240714589557426,0.19620465386701735,CHI,FJ882950.1
35,0.014034707281062299,0.19129715281710855,CHI,FJ882963.1
36,0.01627793132013163,0.19288457655191896,CHI,KF514421.1
37,0.049926622179826644,0.2586815914884981,CHI,DQ022305.2
38,0.01627793132013163,0.19288457655191896,CHI,KF514397.1
39,0.013494298581284186,0.19144715702151652,CHI,GU553365.1
40,0.8040317618680858,0.1385521977948198,CHI,EF203065.1
41,0.707907767480305,0.38509605998632623,CHI,KY073745.1
42,0.014034707281062299,0.19129715281710855,CHI,AP006557.1
43,0.8023193435277365,0.061088054126411793,CHI,KJ473807.1
44,0.04870485235280241,0.2557438558862887,CHI,GQ153541.1
45,0.08559170619388916,0.2226077339959074,CHI,KU182964.1
46,0.692389883377422,0.1093176949742149,CHI,MH687961.1
47,0.3371568743024595,0.49340346407613056,CHI,EF065510.1
48,0.0076425588770810795,0.19788311482427592,CHI,FJ882960.1
49,0.36717369616173673,0.40062945548626483,CHI,DQ648794.1
50,0.01627793132013163,0.19288457655191896,CHI,KF514413.1
51,0.32157451016001487,0.8214687412036961,CHI,NC_030886.1
52,0.014229052741043068,0.19295876181223362,CHI,EU371564.1
53,0.01589321109019804,0.18915685141865374,CHI,AY274119.3
54,0.015368447720777402,0.19803062240690872,CHI,FJ882929.1
55,0.7079171035726887,0.3819250124932607,CHI,KY073746.1
56,0.7047040076691201,0.14042542763057572,CHI,MH687954.1
57,0.014366979711980723,0.191546264199365,CHI,JN854286.1
58,0.013639591836466916,0.19166011252874293,CHI,EU371562.1
59,0.8416012395204646,0.19247881654897922,CHI,MH687949.1
60,0.8415816447012223,0.1989900076641884,CHI,MH687940.1
61,0.019188415447989066,0.20215106206322148,CHI,FJ882953.1
62,0.01627793132013163,0.19288457655191896,CHI,KF514422.1
63,0.6760798728923184,0.10345534585156602,CHI,MH687967.1
64,0.014034707281062299,0.19129715281710855,CHI,JX163923.1
65,0.016618060982085677,0.19210613580876074,CHI,FJ882939.1
66,0.0179701812851325,0.20280511899448955,CHI,JX162087.1
67,0.24905515018052396,0.9955831756962585,CHI,HM211098.1
68,0.6702847762410706,0.10096757937394413,CHI,JQ989268.1
69,0.01627793132013163,0.19288457655191896,CHI,KF514398.1
70,0.6745181109851643,0.37395208230995114,CHI,KF430219.1
71,0.012671184383936503,0.19685709061991222,CHI,FJ882940.1
72,0.01686737701746297,0.20089638513038685,CHI,FJ882941.1
73,0.02201556562371416,0.19567856830905753,CHI,FJ882958.1
74,0.6972510379710265,0.11037798744566622,CHI,MH687964.1
75,0.014034707281062299,0.19129715281710855,CHI,AY502923.1
76,0.014034707281062299,0.19129715281710855,CHI,AP006561.1
77,0.7433069348618675,0.18960660723070916,CHI,KT253269.1
78,0.01627793132013163,0.19288457655191896,CHI,KF514399.1
79,0.7351377298526769,0.1763785287703999,CHI,NC_009657.1
80,0.015867638316057402,0.1955822284256391,CHI,KF514395.1
81,0.015867638316057402,0.1955822284256391,CHI,KF514391.1
82,0.6675064591996464,0.09753028865391192,CHI,JQ989266.1
83,0.015867638316057402,0.1955822284256391,CHI,KF514389.1
