,PCA1,PCA2,label,id
0,0.03607693832766177,0.412796383789734,CHI,FJ882931.1
1,0.9264156804575596,0.31871667439145873,CHI,MF094685.1
2,0.02471770056544129,0.4177532388760833,CHI,KY417148.1
3,0.03718308720183343,0.4149293729608722,CHI,FJ882956.1
4,0.6375774945897748,0.0,CHI,MH938448.1
5,0.41271886582533135,0.489197758855534,CHI,NC_034440.1
6,0.040994364216934254,0.4146732374897896,CHI,KF514423.1
7,0.9296706514803714,0.3108761384770861,CHI,EF203066.1
8,0.042670859194259635,0.4156193631412372,CHI,AY502932.1
9,0.6424970501585996,0.3925555779534212,CHI,MH687938.1
10,0.043200842598365034,0.41596336466998735,CHI,AY345988.1
11,0.019236018882262413,0.4043181733195978,CHI,MK211375.1
12,0.035878618734128086,0.4134653323330935,CHI,FJ882954.1
13,0.04210658923172877,0.414171692621871,CHI,AY864805.1
14,0.043042478604324946,0.41555104649471747,CHI,AY348314.1
15,0.043346119593792164,0.41463646031849216,CHI,JX163924.1
16,0.040994364216934455,0.4146732374897894,CHI,KF514394.1
17,0.04169220746064511,0.41509586400062626,CHI,FJ882951.1
18,0.016078510308548486,0.38390173886010237,CHI,KJ473812.1
19,0.6512875174950807,0.40761745808598476,CHI,MH687944.1
20,0.04347416080220027,0.4149877423838391,CHI,AY502926.1
21,0.04213866927050657,0.4150821801826493,CHI,FJ882943.1
22,0.030688839100792356,0.42969527025405496,CHI,KJ473815.1
23,0.04340252613332751,0.4149872514384647,CHI,AY502925.1
24,0.6744285214601617,0.428698606862842,CHI,JQ989270.1
25,0.6285991320751999,0.381924695569031,CHI,MH687957.1
26,0.029651424606642034,0.40999645055727396,CHI,KJ473816.1
27,0.03273128078924481,0.40676331925576587,CHI,KY417152.1
28,1.0,0.46077076352976065,CHI,NC_028824.1
29,0.027383906452677367,0.42479928247491294,CHI,KY417150.1
30,0.04099436421693455,0.4146732374897895,CHI,KF514419.1
31,0.05464663346230668,0.4276318473802486,CHI,KP886809.1
32,0.6427563965924765,0.39828420300659895,CHI,MH687956.1
33,0.04213258150428862,0.4153420442625237,CHI,AY508724.1
